return_id,order_id,product_id,customer_id,return_date,return_reason,return_amount,refund_status,refund_days,category
RET000054,ORD0000275,PROD0474,CUST02765,2024-12-22,Wrong Item,6362.0,Refunded,7,Automotive
RET000055,ORD0000283,PROD0753,CUST00619,2023-09-25,Damaged in Transit,6062.0,Refunded,11,Office Supplies
RET000056,ORD0000283,PROD0393,CUST00619,2023-09-25,Defective Product,531.0,Refunded,6,Grocery
RET000057,ORD0000283,PROD0551,CUST00619,2023-09-25,Size Issue,1031.0,Pending,12,Fashion
RET000058,ORD0000283,PROD0251,CUST00619,2023-09-25,Damaged in Transit,31461.0,Refunded,11,Electronics
RET000059,ORD0000286,PROD0795,CUST00271,2020-09-20,Damaged in Transit,45843.0,Refunded,7,Electronics
RET000060,ORD0000286,PROD0692,CUST00271,2020-09-20,Better Price Found,1916.0,Refunded,10,Office Supplies
RET000061,ORD0000289,PROD0386,CUST02036,2020-08-03,Damaged in Transit,17656.0,Refunded,14,Fashion
RET000062,ORD0000289,PROD0666,CUST02036,2020-08-03,Defective Product,5475.0,Refunded,12,Home & Kitchen
RET000063,ORD0000289,PROD0413,CUST02036,2020-08-03,Wrong Item,12200.0,Refunded,5,Sports & Fitness
RET000064,ORD0000304,PROD0264,CUST01423,2021-03-05,Defective Product,37416.0,Refunded,4,Electronics
RET000065,ORD0000310,PROD0319,CUST04930,2024-05-20,Defective Product,2342.0,Refunded,8,Beauty & Health
RET000066,ORD0000310,PROD0502,CUST04930,2024-05-20,Changed Mind,1806.0,Refunded,6,Grocery
RET000067,ORD0000310,PROD0648,CUST04930,2024-05-20,Size Issue,8994.0,Refunded,14,Fashion
RET000068,ORD0000310,PROD0381,CUST04930,2024-05-20,Size Issue,4139.0,Pending,13,Office Supplies
RET000069,ORD0000310,PROD0512,CUST04930,2024-05-20,Size Issue,10338.0,Refunded,5,Toys & Games
RET000070,ORD0000326,PROD0585,CUST01872,2022-07-28,Damaged in Transit,11634.0,Pending,10,Sports & Fitness
RET000071,ORD0000326,PROD0479,CUST01872,2022-07-28,Damaged in Transit,16448.0,Refunded,13,Home & Kitchen
RET000072,ORD0000326,PROD0543,CUST01872,2022-07-28,Changed Mind,4049.0,Refunded,10,Automotive
RET000073,ORD0000326,PROD0111,CUST01872,2022-07-28,Changed Mind,6550.0,Pending,4,Toys & Games
RET000074,ORD0000327,PROD0674,CUST03388,2025-01-09,Better Price Found,934.0,Refunded,12,Grocery
RET000075,ORD0000333,PROD0566,CUST00105,2024-07-26,Defective Product,10290.0,Refunded,3,Sports & Fitness
RET000076,ORD0000336,PROD0038,CUST00517,2021-02-03,Changed Mind,7998.0,Pending,8,Beauty & Health
RET000077,ORD0000345,PROD0411,CUST03950,2023-01-10,Wrong Item,420.0,Refunded,8,Grocery
RET000078,ORD0000352,PROD0420,CUST01501,2023-05-10,Damaged in Transit,13373.0,Refunded,12,Sports & Fitness
RET000079,ORD0000352,PROD0008,CUST01501,2023-05-10,Better Price Found,3425.0,Refunded,6,Office Supplies
RET000080,ORD0000352,PROD0675,CUST01501,2023-05-10,Changed Mind,4132.0,Refunded,10,Toys & Games
RET000081,ORD0000357,PROD0728,CUST01465,2022-08-17,Damaged in Transit,33006.0,Refunded,12,Fashion
RET000082,ORD0000382,PROD0581,CUST02250,2023-05-18,Wrong Item,2121.0,Refunded,13,Grocery
RET000083,ORD0000400,PROD0271,CUST03237,2024-07-02,Defective Product,5250.0,Refunded,7,Toys & Games
RET000084,ORD0000405,PROD0644,CUST01381,2022-02-19,Changed Mind,1896.0,Refunded,14,Beauty & Health
RET000085,ORD0000413,PROD0798,CUST02025,2024-11-01,Better Price Found,3835.0,Refunded,9,Beauty & Health
RET000086,ORD0000428,PROD0045,CUST04012,2024-06-18,Damaged in Transit,1458.0,Refunded,4,Grocery
RET000087,ORD0000428,PROD0780,CUST04012,2024-06-18,Changed Mind,6238.0,Refunded,9,Electronics
RET000088,ORD0000434,PROD0465,CUST04776,2024-04-03,Better Price Found,544.0,Refunded,10,Grocery
RET000089,ORD0000435,PROD0114,CUST04588,2021-06-11,Size Issue,7923.0,Refunded,4,Beauty & Health
RET000090,ORD0000435,PROD0110,CUST04588,2021-06-11,Defective Product,4208.0,Refunded,9,Beauty & Health
RET000091,ORD0000448,PROD0183,CUST03534,2023-12-01,Size Issue,78876.0,Pending,8,Electronics
RET000092,ORD0000461,PROD0744,CUST03056,2021-02-26,Changed Mind,626.0,Refunded,13,Grocery
RET000093,ORD0000461,PROD0287,CUST03056,2021-02-26,Wrong Item,3230.0,Refunded,4,Automotive
RET000094,ORD0000461,PROD0124,CUST03056,2021-02-26,Better Price Found,8346.0,Refunded,10,Fashion
RET000095,ORD0000465,PROD0640,CUST02614,2022-01-15,Size Issue,3516.0,Refunded,5,Toys & Games
RET000096,ORD0000467,PROD0581,CUST01260,2021-07-24,Defective Product,668.0,Refunded,13,Grocery
RET000097,ORD0000479,PROD0182,CUST03651,2022-09-14,Better Price Found,556.0,Refunded,8,Grocery
RET000098,ORD0000479,PROD0458,CUST03651,2022-09-14,Damaged in Transit,7056.0,Refunded,10,Fashion
RET000099,ORD0000509,PROD0245,CUST02770,2024-06-01,Changed Mind,46608.0,Refunded,7,Sports & Fitness
RET000100,ORD0000509,PROD0600,CUST02770,2024-06-01,Size Issue,7680.0,Refunded,13,Beauty & Health
RET000101,ORD0000513,PROD0232,CUST00127,2023-01-22,Defective Product,492.0,Refunded,9,Books
RET000102,ORD0000518,PROD0018,CUST00667,2023-12-10,Better Price Found,7687.0,Refunded,13,Fashion
RET000103,ORD0000519,PROD0336,CUST02809,2022-11-30,Damaged in Transit,7901.0,Refunded,8,Office Supplies
RET000104,ORD0000519,PROD0226,CUST02809,2022-11-30,Damaged in Transit,40060.0,Refunded,6,Home & Kitchen
RET000105,ORD0000519,PROD0047,CUST02809,2022-11-30,Changed Mind,498.0,Refunded,3,Automotive
RET000106,ORD0000537,PROD0457,CUST01134,2021-01-07,Better Price Found,5501.0,Refunded,4,Fashion
RET000107,ORD0000537,PROD0142,CUST01134,2021-01-07,Size Issue,3168.0,Refunded,5,Grocery
RET000108,ORD0000549,PROD0524,CUST00007,2022-12-30,Size Issue,4198.0,Refunded,7,Fashion
RET000109,ORD0000558,PROD0390,CUST01235,2024-09-16,Changed Mind,7874.0,Pending,11,Electronics
RET000110,ORD0000563,PROD0168,CUST01613,2023-12-08,Damaged in Transit,4882.0,Refunded,14,Office Supplies
RET000111,ORD0000563,PROD0456,CUST01613,2023-12-08,Better Price Found,3262.0,Refunded,8,Beauty & Health
RET000112,ORD0000564,PROD0064,CUST02061,2022-03-21,Better Price Found,272.0,Refunded,6,Books
RET000113,ORD0000564,PROD0058,CUST02061,2022-03-21,Better Price Found,19712.0,Refunded,9,Home & Kitchen
RET000114,ORD0000566,PROD0742,CUST01935,2021-07-06,Damaged in Transit,206.0,Refunded,5,Books
RET000115,ORD0000566,PROD0547,CUST01935,2021-07-06,Better Price Found,700.0,Refunded,12,Grocery
RET000116,ORD0000572,PROD0390,CUST02868,2024-10-17,Better Price Found,14696.0,Pending,7,Electronics
RET000117,ORD0000584,PROD0615,CUST03373,2023-12-07,Damaged in Transit,4705.0,Refunded,10,Toys & Games
RET000118,ORD0000584,PROD0102,CUST03373,2023-12-07,Wrong Item,73866.0,Refunded,5,Electronics
RET000119,ORD0000598,PROD0070,CUST00698,2021-04-05,Wrong Item,106.0,Refunded,4,Books
RET000120,ORD0000598,PROD0058,CUST00698,2021-04-05,Defective Product,8213.0,Rejected,5,Home & Kitchen
RET000121,ORD0000598,PROD0274,CUST00698,2021-04-05,Damaged in Transit,103722.0,Refunded,11,Electronics
RET000122,ORD0000598,PROD0655,CUST00698,2021-04-05,Wrong Item,3864.0,Refunded,3,Automotive
RET000123,ORD0000602,PROD0399,CUST02480,2023-12-16,Size Issue,74025.0,Refunded,5,Electronics
RET000124,ORD0000609,PROD0142,CUST01372,2022-03-27,Wrong Item,3168.0,Pending,6,Grocery
RET000125,ORD0000609,PROD0791,CUST01372,2022-03-27,Size Issue,1092.0,Refunded,7,Fashion
RET000126,ORD0000620,PROD0320,CUST04816,2021-04-14,Changed Mind,19390.0,Refunded,9,Fashion
RET000127,ORD0000641,PROD0647,CUST04660,2023-12-30,Damaged in Transit,15532.0,Refunded,8,Office Supplies
RET000128,ORD0000641,PROD0224,CUST04660,2023-12-30,Better Price Found,566.0,Refunded,11,Home & Kitchen
RET000129,ORD0000650,PROD0425,CUST00886,2024-04-09,Damaged in Transit,7374.0,Pending,4,Sports & Fitness
RET000130,ORD0000650,PROD0426,CUST00886,2024-04-09,Damaged in Transit,38299.0,Pending,10,Home & Kitchen
RET000131,ORD0000650,PROD0141,CUST00886,2024-04-09,Wrong Item,3814.0,Refunded,10,Toys & Games
RET000132,ORD0000650,PROD0752,CUST00886,2024-04-09,Size Issue,89.0,Refunded,13,Office Supplies
RET000133,ORD0000660,PROD0587,CUST03519,2020-10-21,Changed Mind,5604.0,Refunded,10,Beauty & Health
RET000134,ORD0000662,PROD0741,CUST00664,2021-05-25,Size Issue,14748.0,Refunded,11,Fashion
RET000135,ORD0000662,PROD0507,CUST00664,2021-05-25,Defective Product,4670.0,Refunded,12,Automotive
RET000136,ORD0000664,PROD0172,CUST00339,2022-10-31,Better Price Found,4330.0,Refunded,4,Fashion
RET000137,ORD0000664,PROD0556,CUST00339,2022-10-31,Wrong Item,1924.0,Refunded,4,Toys & Games
RET000138,ORD0000695,PROD0701,CUST04697,2020-04-24,Wrong Item,27367.0,Refunded,5,Home & Kitchen
RET000139,ORD0000695,PROD0726,CUST04697,2020-04-24,Changed Mind,149259.0,Refunded,11,Electronics
RET000140,ORD0000701,PROD0611,CUST02419,2021-01-20,Size Issue,16002.0,Refunded,10,Office Supplies
RET000141,ORD0000701,PROD0242,CUST02419,2021-01-20,Changed Mind,374.0,Refunded,6,Grocery
RET000142,ORD0000701,PROD0263,CUST02419,2021-01-20,Better Price Found,1252.0,Refunded,8,Beauty & Health
RET000143,ORD0000701,PROD0433,CUST02419,2021-01-20,Changed Mind,73270.0,Refunded,13,Electronics
RET000144,ORD0000701,PROD0757,CUST02419,2021-01-20,Damaged in Transit,3106.0,Refunded,11,Grocery
RET000145,ORD0000702,PROD0784,CUST00007,2022-02-02,Changed Mind,3195.0,Refunded,5,Books
RET000146,ORD0000717,PROD0063,CUST03157,2023-09-30,Size Issue,2440.0,Refunded,8,Beauty & Health
RET000147,ORD0000717,PROD0336,CUST03157,2023-09-30,Size Issue,15802.0,Refunded,7,Office Supplies
RET000148,ORD0000717,PROD0380,CUST03157,2023-09-30,Changed Mind,11828.0,Refunded,4,Automotive
RET000149,ORD0000738,PROD0747,CUST04138,2023-12-13,Defective Product,13077.0,Refunded,11,Fashion
RET000150,ORD0000738,PROD0108,CUST04138,2023-12-13,Size Issue,37466.0,Refunded,11,Home & Kitchen
RET000151,ORD0000738,PROD0163,CUST04138,2023-12-13,Defective Product,5648.0,Refunded,11,Beauty & Health
RET000152,ORD0000738,PROD0150,CUST04138,2023-12-13,Changed Mind,1930.0,Pending,9,Home & Kitchen
RET000153,ORD0000741,PROD0499,CUST01514,2021-12-23,Size Issue,2939.0,Refunded,5,Beauty & Health
RET000154,ORD0000741,PROD0264,CUST01514,2021-12-23,Wrong Item,37416.0,Refunded,14,Electronics
RET000155,ORD0000741,PROD0207,CUST01514,2021-12-23,Size Issue,981.0,Refunded,6,Books
RET000156,ORD0000744,PROD0658,CUST01493,2024-12-07,Better Price Found,625.0,Rejected,6,Books
RET000157,ORD0000744,PROD0477,CUST01493,2024-12-07,Defective Product,5090.0,Refunded,10,Fashion
RET000158,ORD0000774,PROD0146,CUST02295,2021-09-30,Wrong Item,262.0,Refunded,3,Office Supplies
RET000159,ORD0000791,PROD0160,CUST01390,2023-04-08,Size Issue,5200.0,Refunded,10,Fashion
RET000160,ORD0000795,PROD0219,CUST04889,2024-10-21,Damaged in Transit,2225.0,Refunded,13,Office Supplies
RET000161,ORD0000800,PROD0136,CUST02751,2024-04-14,Size Issue,165012.0,Refunded,14,Electronics
RET000162,ORD0000842,PROD0270,CUST04676,2021-06-26,Size Issue,1214.0,Refunded,4,Books
RET000163,ORD0000842,PROD0104,CUST04676,2021-06-26,Wrong Item,65196.0,Refunded,8,Sports & Fitness
RET000164,ORD0000842,PROD0517,CUST04676,2021-06-26,Size Issue,588.0,Refunded,8,Grocery
RET000165,ORD0000842,PROD0351,CUST04676,2021-06-26,Better Price Found,8529.0,Refunded,13,Sports & Fitness
RET000166,ORD0000842,PROD0292,CUST04676,2021-06-26,Damaged in Transit,11334.0,Refunded,12,Home & Kitchen
RET000167,ORD0000844,PROD0573,CUST03885,2024-03-04,Damaged in Transit,48036.0,Refunded,13,Sports & Fitness
RET000168,ORD0000845,PROD0645,CUST00748,2021-07-25,Damaged in Transit,88497.0,Refunded,4,Electronics
RET000169,ORD0000852,PROD0363,CUST00431,2023-09-24,Wrong Item,3874.0,Pending,14,Fashion
RET000170,ORD0000856,PROD0607,CUST00754,2021-06-02,Changed Mind,266.0,Refunded,6,Books
RET000171,ORD0000870,PROD0176,CUST04957,2024-08-11,Changed Mind,803.0,Refunded,13,Books
RET000172,ORD0000870,PROD0486,CUST04957,2024-08-11,Defective Product,57048.0,Refunded,3,Electronics
RET000173,ORD0000870,PROD0366,CUST04957,2024-08-11,Size Issue,8320.0,Refunded,13,Beauty & Health
RET000174,ORD0000870,PROD0751,CUST04957,2024-08-11,Size Issue,1412.0,Refunded,8,Grocery
RET000175,ORD0000884,PROD0279,CUST01028,2022-03-22,Size Issue,2106.0,Refunded,7,Grocery
RET000176,ORD0000885,PROD0150,CUST02438,2022-05-14,Wrong Item,2145.0,Refunded,14,Home & Kitchen
RET000177,ORD0000885,PROD0443,CUST02438,2022-05-14,Better Price Found,2540.0,Refunded,13,Sports & Fitness
RET000178,ORD0000889,PROD0723,CUST04631,2022-09-15,Changed Mind,3125.0,Pending,8,Beauty & Health
RET000179,ORD0000895,PROD0187,CUST02240,2024-03-21,Wrong Item,430.0,Refunded,6,Books
RET000180,ORD0000895,PROD0109,CUST02240,2024-03-21,Better Price Found,26507.0,Refunded,3,Electronics
RET000181,ORD0000895,PROD0212,CUST02240,2024-03-21,Wrong Item,2372.0,Refunded,9,Fashion
RET000182,ORD0000905,PROD0158,CUST04696,2022-11-19,Damaged in Transit,6494.0,Refunded,13,Automotive
RET000183,ORD0000933,PROD0440,CUST04714,2023-01-14,Wrong Item,2656.0,Refunded,5,Automotive
RET000184,ORD0000934,PROD0749,CUST02209,2023-09-15,Damaged in Transit,14700.0,Refunded,8,Fashion
RET000185,ORD0000934,PROD0173,CUST02209,2023-09-15,Size Issue,1056.0,Refunded,12,Automotive
RET000186,ORD0000934,PROD0445,CUST02209,2023-09-15,Size Issue,100158.0,Refunded,7,Home & Kitchen
RET000187,ORD0000938,PROD0503,CUST00903,2022-07-07,Size Issue,3136.0,Refunded,14,Office Supplies
RET000188,ORD0000938,PROD0019,CUST00903,2022-07-07,Defective Product,16724.0,Refunded,13,Electronics
RET000189,ORD0000938,PROD0306,CUST00903,2022-07-07,Better Price Found,4179.0,Refunded,5,Beauty & Health
RET000190,ORD0000946,PROD0734,CUST03947,2023-12-11,Better Price Found,4022.0,Refunded,6,Fashion
RET000191,ORD0000946,PROD0026,CUST03947,2023-12-11,Changed Mind,3914.0,Pending,10,Sports & Fitness
RET000192,ORD0000946,PROD0009,CUST03947,2023-12-11,Size Issue,4170.0,Pending,6,Beauty & Health
RET000193,ORD0000973,PROD0353,CUST00099,2020-04-08,Defective Product,42694.0,Refunded,12,Electronics
RET000194,ORD0000973,PROD0618,CUST00099,2020-04-08,Better Price Found,943.0,Refunded,4,Books
RET000195,ORD0000973,PROD0090,CUST00099,2020-04-08,Defective Product,26859.0,Refunded,6,Sports & Fitness
RET000196,ORD0000973,PROD0634,CUST00099,2020-04-08,Wrong Item,872.0,Refunded,7,Books
RET000197,ORD0000973,PROD0478,CUST00099,2020-04-08,Changed Mind,3395.0,Refunded,6,Beauty & Health
RET000198,ORD0001005,PROD0539,CUST02055,2025-01-04,Size Issue,7092.0,Refunded,5,Home & Kitchen
RET000199,ORD0001005,PROD0744,CUST02055,2025-01-04,Size Issue,313.0,Refunded,13,Grocery
RET000200,ORD0001020,PROD0405,CUST01721,2022-11-12,Wrong Item,3548.0,Refunded,11,Fashion
RET000201,ORD0001034,PROD0006,CUST03355,2022-02-03,Changed Mind,3293.0,Refunded,9,Beauty & Health
RET000202,ORD0001039,PROD0704,CUST00015,2022-05-12,Wrong Item,8865.0,Refunded,4,Automotive
RET000203,ORD0001041,PROD0444,CUST02230,2021-04-18,Damaged in Transit,516.0,Refunded,10,Grocery
RET000204,ORD0001045,PROD0470,CUST01179,2022-03-29,Size Issue,16761.0,Refunded,14,Electronics
RET000205,ORD0001045,PROD0352,CUST01179,2022-03-29,Better Price Found,2868.0,Refunded,12,Beauty & Health
RET000206,ORD0001061,PROD0625,CUST03528,2024-07-10,Size Issue,2723.0,Refunded,6,Toys & Games
RET000207,ORD0001061,PROD0388,CUST03528,2024-07-10,Defective Product,1212.0,Refunded,8,Toys & Games
RET000208,ORD0001061,PROD0155,CUST03528,2024-07-10,Changed Mind,2544.0,Refunded,5,Office Supplies
RET000209,ORD0001061,PROD0253,CUST03528,2024-07-10,Defective Product,608.0,Refunded,10,Toys & Games
RET000210,ORD0001061,PROD0707,CUST03528,2024-07-10,Changed Mind,600.0,Pending,13,Books
RET000211,ORD0001074,PROD0435,CUST03681,2021-11-02,Defective Product,1644.0,Refunded,13,Books
RET000212,ORD0001074,PROD0463,CUST03681,2021-11-02,Better Price Found,2687.0,Refunded,10,Sports & Fitness
RET000213,ORD0001075,PROD0670,CUST02171,2021-10-22,Better Price Found,1264.0,Refunded,11,Books
RET000214,ORD0001082,PROD0619,CUST02376,2022-04-27,Damaged in Transit,39900.0,Refunded,6,Fashion
RET000215,ORD0001097,PROD0576,CUST02915,2021-05-02,Changed Mind,12036.0,Refunded,8,Fashion
RET000216,ORD0001120,PROD0041,CUST03823,2020-09-16,Changed Mind,328251.0,Refunded,5,Electronics
RET000217,ORD0001120,PROD0105,CUST03823,2020-09-16,Wrong Item,422.0,Refunded,3,Beauty & Health
RET000218,ORD0001120,PROD0008,CUST03823,2020-09-16,Size Issue,3654.0,Refunded,6,Office Supplies
RET000219,ORD0001120,PROD0393,CUST03823,2020-09-16,Changed Mind,460.0,Pending,6,Grocery
RET000220,ORD0001142,PROD0672,CUST01615,2021-08-15,Better Price Found,392.0,Refunded,4,Grocery
RET000221,ORD0001149,PROD0241,CUST00518,2024-06-19,Better Price Found,30811.0,Refunded,4,Home & Kitchen
RET000222,ORD0001149,PROD0125,CUST00518,2024-06-19,Size Issue,1646.0,Refunded,10,Grocery
RET000223,ORD0001149,PROD0231,CUST00518,2024-06-19,Better Price Found,648.0,Refunded,14,Grocery
RET000224,ORD0001179,PROD0256,CUST04066,2023-09-16,Changed Mind,4912.0,Refunded,7,Home & Kitchen
RET000225,ORD0001220,PROD0247,CUST04985,2020-06-08,Size Issue,1404.0,Refunded,5,Books
RET000226,ORD0001237,PROD0109,CUST00673,2021-07-09,Damaged in Transit,29821.0,Pending,9,Electronics
RET000227,ORD0001237,PROD0214,CUST00673,2021-07-09,Size Issue,1970.0,Refunded,4,Beauty & Health
RET000228,ORD0001255,PROD0135,CUST00694,2023-03-22,Damaged in Transit,17366.0,Refunded,8,Automotive
RET000229,ORD0001280,PROD0689,CUST03933,2020-08-10,Better Price Found,5072.0,Pending,11,Sports & Fitness
RET000230,ORD0001280,PROD0301,CUST03933,2020-08-10,Size Issue,9036.0,Pending,7,Sports & Fitness
RET000231,ORD0001292,PROD0534,CUST03965,2024-12-06,Wrong Item,10744.0,Refunded,3,Toys & Games
RET000232,ORD0001356,PROD0161,CUST03910,2024-02-12,Wrong Item,11224.0,Refunded,13,Automotive
RET000233,ORD0001356,PROD0085,CUST03910,2024-02-12,Better Price Found,14740.0,Refunded,6,Sports & Fitness
RET000234,ORD0001361,PROD0335,CUST00328,2025-01-21,Damaged in Transit,1868.0,Refunded,13,Grocery
RET000235,ORD0001374,PROD0376,CUST02448,2023-03-05,Better Price Found,1897.0,Refunded,8,Beauty & Health
RET000236,ORD0001374,PROD0474,CUST02448,2023-03-05,Damaged in Transit,6362.0,Refunded,4,Automotive
RET000237,ORD0001374,PROD0447,CUST02448,2023-03-05,Defective Product,3230.0,Pending,12,Fashion
RET000238,ORD0001375,PROD0502,CUST00797,2024-11-26,Defective Product,1936.0,Pending,8,Grocery
RET000239,ORD0001375,PROD0305,CUST00797,2024-11-26,Better Price Found,15685.0,Pending,7,Home & Kitchen
RET000240,ORD0001375,PROD0003,CUST00797,2024-11-26,Defective Product,12669.0,Refunded,12,Electronics
RET000241,ORD0001375,PROD0095,CUST00797,2024-11-26,Damaged in Transit,2476.0,Refunded,10,Toys & Games
RET000242,ORD0001385,PROD0420,CUST02233,2023-06-23,Wrong Item,22288.0,Pending,8,Sports & Fitness
RET000243,ORD0001396,PROD0621,CUST03699,2023-04-19,Damaged in Transit,9862.0,Refunded,13,Fashion
RET000244,ORD0001396,PROD0466,CUST03699,2023-04-19,Wrong Item,33293.0,Refunded,7,Home & Kitchen
RET000245,ORD0001396,PROD0697,CUST03699,2023-04-19,Wrong Item,16588.0,Refunded,7,Sports & Fitness
RET000246,ORD0001410,PROD0557,CUST04630,2024-05-25,Better Price Found,4564.0,Pending,4,Office Supplies
RET000247,ORD0001413,PROD0039,CUST03823,2023-02-15,Defective Product,9236.0,Refunded,8,Automotive
RET000248,ORD0001413,PROD0795,CUST03823,2023-02-15,Damaged in Transit,41675.0,Refunded,5,Electronics
