item_id,order_id,product_id,category,subcategory,brand,quantity,mrp,discount_pct,final_price,revenue,cost,profit,profit_margin,order_date,order_year,state,return_flag
ITEM00000016,ORD0000009,PROD0404,Automotive,Tyres,CEAT,1,5643.0,35,3668.0,3668.0,2512.0,1156.0,31.52,2023-04-18,2023,Kerala,0
ITEM00000017,ORD0000009,PROD0050,Electronics,Headphones,Realme,3,102999.0,60,41200.0,123600.0,77796.0,45804.0,37.06,2023-04-18,2023,Kerala,0
ITEM00000018,ORD0000010,PROD0472,Home & Kitchen,Decor,Prestige,1,37797.0,30,26458.0,26458.0,14772.0,11686.0,44.17,2022-07-18,2022,Tamil Nadu,0
ITEM00000019,ORD0000011,PROD0044,Beauty & Health,Supplements,Himalaya,4,2929.0,0,2929.0,11716.0,5488.0,6228.0,53.16,2021-07-10,2021,Delhi,0
ITEM00000020,ORD0000012,PROD0355,Fashion,Jewellery,Bata,4,8593.0,5,8163.0,32652.0,22640.0,10012.0,30.66,2021-08-30,2021,Gujarat,0
ITEM00000021,ORD0000013,PROD0369,Electronics,Laptops,Samsung,3,131692.0,55,59261.0,177783.0,89118.0,88665.0,49.87,2020-11-09,2020,Punjab,0
ITEM00000022,ORD0000013,PROD0001,Toys & Games,Action Figures,Toyzone,2,5928.0,40,3557.0,7114.0,4070.0,3044.0,42.79,2020-11-09,2020,Punjab,0
ITEM00000023,ORD0000013,PROD0322,Electronics,TV & Monitors,LG,1,54124.0,20,43299.0,43299.0,26046.0,17253.0,39.85,2020-11-09,2020,Punjab,0
ITEM00000024,ORD0000013,PROD0092,Beauty & Health,Supplements,Himalaya,1,4945.0,25,3709.0,3709.0,2430.0,1279.0,34.48,2020-11-09,2020,Punjab,0
ITEM00000025,ORD0000013,PROD0668,Fashion,Bags & Wallets,Adidas,3,2531.0,25,1898.0,5694.0,3858.0,1836.0,32.24,2020-11-09,2020,Punjab,0
ITEM00000026,ORD0000014,PROD0793,Beauty & Health,Supplements,Himalaya,4,3150.0,25,2362.0,9448.0,5884.0,3564.0,37.72,2020-10-25,2020,Madhya Pradesh,0
ITEM00000027,ORD0000015,PROD0138,Fashion,Men Clothing,Adidas,3,6054.0,25,4540.0,13620.0,8967.0,4653.0,34.16,2023-08-30,2023,Gujarat,0
ITEM00000028,ORD0000015,PROD0235,Toys & Games,Electronic Toys,Mattel,2,3963.0,15,3369.0,6738.0,3998.0,2740.0,40.66,2023-08-30,2023,Gujarat,0
ITEM00000029,ORD0000016,PROD0755,Electronics,Headphones,Boat,2,137755.0,20,110204.0,220408.0,154086.0,66322.0,30.09,2021-06-15,2021,Delhi,0
ITEM00000030,ORD0000016,PROD0701,Home & Kitchen,Lighting,Prestige,1,28807.0,5,27367.0,27367.0,19147.0,8220.0,30.04,2021-06-15,2021,Delhi,0
ITEM00000031,ORD0000017,PROD0635,Electronics,Tablets,Boat,1,117615.0,20,94092.0,94092.0,61267.0,32825.0,34.89,2024-02-07,2024,Bihar,0
ITEM00000032,ORD0000017,PROD0197,Beauty & Health,Supplements,LOreal,1,1768.0,30,1238.0,1238.0,716.0,522.0,42.16,2024-02-07,2024,Bihar,0
ITEM00000033,ORD0000018,PROD0667,Home & Kitchen,Cookware,Hawkins,2,16220.0,10,14598.0,29196.0,14966.0,14230.0,48.74,2021-11-11,2021,Telangana,0
ITEM00000034,ORD0000019,PROD0716,Toys & Games,Educational,Fisher-Price,2,6084.0,10,5476.0,10952.0,4828.0,6124.0,55.92,2020-12-09,2020,Rajasthan,0
ITEM00000035,ORD0000019,PROD0610,Toys & Games,Action Figures,Mattel,2,3787.0,15,3219.0,6438.0,3122.0,3316.0,51.51,2020-12-09,2020,Rajasthan,0
ITEM00000036,ORD0000020,PROD0345,Electronics,Laptops,Boat,1,6749.0,25,5062.0,5062.0,3162.0,1900.0,37.53,2020-05-03,2020,Punjab,0
ITEM00000037,ORD0000020,PROD0774,Home & Kitchen,Cleaning,Philips,1,28708.0,25,21531.0,21531.0,12805.0,8726.0,40.53,2020-05-03,2020,Punjab,0
ITEM00000038,ORD0000020,PROD0530,Electronics,TV & Monitors,OnePlus,1,47749.0,60,19100.0,19100.0,12918.0,6182.0,32.37,2020-05-03,2020,Punjab,0
ITEM00000039,ORD0000020,PROD0014,Beauty & Health,Supplements,Biotique,3,2681.0,15,2279.0,6837.0,4593.0,2244.0,32.82,2020-05-03,2020,Punjab,0
ITEM00000040,ORD0000020,PROD0556,Toys & Games,Board Games,Fisher-Price,3,2749.0,30,1924.0,5772.0,3993.0,1779.0,30.82,2020-05-03,2020,Punjab,0
ITEM00000041,ORD0000021,PROD0477,Fashion,Jewellery,Nike,1,5090.0,50,2545.0,2545.0,1027.0,1518.0,59.65,2024-09-17,2024,Madhya Pradesh,0
ITEM00000042,ORD0000021,PROD0209,Sports & Fitness,Cycling,Nivia,1,10723.0,5,10187.0,10187.0,6103.0,4084.0,40.09,2024-09-17,2024,Madhya Pradesh,0
ITEM00000043,ORD0000022,PROD0539,Home & Kitchen,Cookware,Nilkamal,1,8343.0,10,7509.0,7509.0,4581.0,2928.0,38.99,2021-06-12,2021,Kerala,0
ITEM00000044,ORD0000023,PROD0445,Home & Kitchen,Cookware,Asian Paints,4,44515.0,25,33386.0,133544.0,92636.0,40908.0,30.63,2020-05-24,2020,Bihar,0
ITEM00000045,ORD0000024,PROD0149,Home & Kitchen,Lighting,Hawkins,1,32514.0,30,22760.0,22760.0,15793.0,6967.0,30.61,2020-08-21,2020,Uttar Pradesh,1
ITEM00000046,ORD0000025,PROD0025,Automotive,Car Accessories,Castrol,4,16773.0,25,12580.0,50320.0,22864.0,27456.0,54.56,2024-05-02,2024,Bihar,0
ITEM00000047,ORD0000025,PROD0496,Sports & Fitness,Gym Equipment,Reebok,2,6576.0,50,3288.0,6576.0,4314.0,2262.0,34.4,2024-05-02,2024,Bihar,0
ITEM00000048,ORD0000026,PROD0303,Electronics,Tablets,Realme,1,34834.0,25,26126.0,26126.0,11365.0,14761.0,56.5,2020-04-03,2020,Andhra Pradesh,0
ITEM00000049,ORD0000027,PROD0055,Toys & Games,Action Figures,Lego,3,6813.0,40,4088.0,12264.0,6312.0,5952.0,48.53,2022-08-08,2022,Karnataka,1
ITEM00000050,ORD0000028,PROD0451,Beauty & Health,Makeup,Patanjali,2,526.0,50,263.0,526.0,218.0,308.0,58.56,2021-04-12,2021,Delhi,0
ITEM00000051,ORD0000029,PROD0715,Home & Kitchen,Cookware,Hawkins,1,1997.0,50,998.0,998.0,481.0,517.0,51.8,2022-02-16,2022,Kerala,0
ITEM00000052,ORD0000030,PROD0157,Books,Academic,Oxford,1,346.0,20,277.0,277.0,124.0,153.0,55.23,2023-04-01,2023,Maharashtra,0
ITEM00000053,ORD0000031,PROD0240,Beauty & Health,Supplements,Patanjali,2,2897.0,40,1738.0,3476.0,2366.0,1110.0,31.93,2021-01-25,2021,Karnataka,0
ITEM00000054,ORD0000031,PROD0600,Beauty & Health,Skincare,Himalaya,1,4266.0,40,2560.0,2560.0,1411.0,1149.0,44.88,2021-01-25,2021,Karnataka,0
ITEM00000055,ORD0000032,PROD0557,Office Supplies,Storage,Canon,1,2685.0,25,2014.0,2014.0,1041.0,973.0,48.31,2022-05-09,2022,Karnataka,0
ITEM00000056,ORD0000032,PROD0420,Sports & Fitness,Yoga,Reebok,3,22289.0,50,11144.0,33432.0,20130.0,13302.0,39.79,2022-05-09,2022,Karnataka,0
ITEM00000057,ORD0000032,PROD0058,Home & Kitchen,Lighting,Prestige,1,16426.0,45,9034.0,9034.0,4034.0,5000.0,55.35,2022-05-09,2022,Karnataka,0
ITEM00000058,ORD0000032,PROD0147,Beauty & Health,Makeup,Biotique,4,3811.0,0,3811.0,15244.0,6668.0,8576.0,56.26,2022-05-09,2022,Karnataka,0
ITEM00000059,ORD0000032,PROD0183,Electronics,Headphones,Xiaomi,2,98595.0,50,49298.0,98596.0,43332.0,55264.0,56.05,2022-05-09,2022,Karnataka,0
ITEM00000060,ORD0000033,PROD0342,Sports & Fitness,Football,Reebok,1,24720.0,55,11124.0,11124.0,6373.0,4751.0,42.71,2024-12-24,2024,Telangana,0
ITEM00000061,ORD0000033,PROD0163,Beauty & Health,Medical Devices,Himalaya,3,3530.0,25,2648.0,7944.0,3939.0,4005.0,50.42,2024-12-24,2024,Telangana,0
ITEM00000062,ORD0000033,PROD0200,Fashion,Footwear,H&M,1,1603.0,30,1122.0,1122.0,627.0,495.0,44.12,2024-12-24,2024,Telangana,0
ITEM00000063,ORD0000033,PROD0565,Beauty & Health,Supplements,Patanjali,1,669.0,20,535.0,535.0,264.0,271.0,50.65,2024-12-24,2024,Telangana,0
ITEM00000064,ORD0000033,PROD0757,Grocery,Organic,Britannia,1,1827.0,10,1644.0,1644.0,763.0,881.0,53.59,2024-12-24,2024,Telangana,0
ITEM00000065,ORD0000034,PROD0286,Sports & Fitness,Yoga,Cosco,1,8012.0,50,4006.0,4006.0,2502.0,1504.0,37.54,2023-04-07,2023,Madhya Pradesh,0
ITEM00000066,ORD0000035,PROD0792,Books,Non-Fiction,Rupa,1,324.0,0,324.0,324.0,200.0,124.0,38.27,2022-03-01,2022,Madhya Pradesh,0
ITEM00000067,ORD0000035,PROD0332,Books,Academic,HarperCollins,1,920.0,50,460.0,460.0,264.0,196.0,42.61,2022-03-01,2022,Madhya Pradesh,0
ITEM00000068,ORD0000036,PROD0249,Books,Business,Penguin,1,427.0,25,320.0,320.0,203.0,117.0,36.56,2021-12-18,2021,Punjab,0
ITEM00000069,ORD0000037,PROD0053,Fashion,Sunglasses,Fabindia,3,12857.0,30,9000.0,27000.0,14067.0,12933.0,47.9,2024-10-31,2024,Gujarat,1
ITEM00000070,ORD0000037,PROD0726,Electronics,Cameras,Apple,1,66337.0,30,46436.0,46436.0,21486.0,24950.0,53.73,2024-10-31,2024,Gujarat,1
ITEM00000071,ORD0000038,PROD0343,Beauty & Health,Makeup,Himalaya,1,1910.0,15,1624.0,1624.0,1127.0,497.0,30.6,2021-08-07,2021,Andhra Pradesh,0
ITEM00000072,ORD0000039,PROD0400,Books,Fiction,Penguin,1,1457.0,10,1311.0,1311.0,579.0,732.0,55.84,2024-04-29,2024,Punjab,0
ITEM00000073,ORD0000039,PROD0035,Automotive,Tyres,CEAT,1,14277.0,15,12135.0,12135.0,8375.0,3760.0,30.98,2024-04-29,2024,Punjab,0
ITEM00000074,ORD0000040,PROD0611,Office Supplies,Printers,Nilkamal,1,6667.0,25,5000.0,5000.0,3006.0,1994.0,39.88,2023-09-24,2023,Uttar Pradesh,0
ITEM00000075,ORD0000041,PROD0784,Books,Academic,Scholastic,3,1522.0,40,913.0,2739.0,2214.0,525.0,19.17,2023-08-14,2023,Uttar Pradesh,0
ITEM00000076,ORD0000042,PROD0036,Fashion,Women Clothing,Puma,1,7677.0,35,4990.0,4990.0,3406.0,1584.0,31.74,2021-08-07,2021,Telangana,0
ITEM00000077,ORD0000043,PROD0082,Automotive,Tyres,MRF,1,6234.0,25,4676.0,4676.0,3065.0,1611.0,34.45,2024-12-03,2024,Madhya Pradesh,0
ITEM00000078,ORD0000043,PROD0008,Office Supplies,Storage,Faber-Castell,1,4567.0,15,3882.0,3882.0,2459.0,1423.0,36.66,2024-12-03,2024,Madhya Pradesh,0
ITEM00000079,ORD0000043,PROD0723,Beauty & Health,Makeup,Biotique,1,3472.0,15,2951.0,2951.0,1577.0,1374.0,46.56,2024-12-03,2024,Madhya Pradesh,0
ITEM00000080,ORD0000044,PROD0412,Home & Kitchen,Cleaning,Hawkins,1,19400.0,10,17460.0,17460.0,7783.0,9677.0,55.42,2020-06-15,2020,Kerala,0
ITEM00000081,ORD0000044,PROD0650,Books,Fiction,HarperCollins,1,745.0,50,372.0,372.0,230.0,142.0,38.17,2020-06-15,2020,Kerala,0
ITEM00000082,ORD0000044,PROD0627,Electronics,Mobile Phones,Xiaomi,1,55069.0,20,44055.0,44055.0,24397.0,19658.0,44.62,2020-06-15,2020,Kerala,0
ITEM00000083,ORD0000044,PROD0629,Books,Fiction,Oxford,1,1754.0,30,1228.0,1228.0,860.0,368.0,29.97,2020-06-15,2020,Kerala,0
ITEM00000084,ORD0000045,PROD0781,Beauty & Health,Skincare,Biotique,1,4002.0,20,3202.0,3202.0,2416.0,786.0,24.55,2023-01-30,2023,West Bengal,0
ITEM00000085,ORD0000045,PROD0585,Sports & Fitness,Gym Equipment,SG,1,11634.0,50,5817.0,5817.0,3268.0,2549.0,43.82,2023-01-30,2023,West Bengal,0
ITEM00000086,ORD0000045,PROD0330,Electronics,Mobile Phones,Boat,1,11651.0,30,8156.0,8156.0,4027.0,4129.0,50.63,2023-01-30,2023,West Bengal,0
ITEM00000087,ORD0000045,PROD0214,Beauty & Health,Skincare,Lakme,4,2189.0,10,1970.0,7880.0,3408.0,4472.0,56.75,2023-01-30,2023,West Bengal,0
ITEM00000088,ORD0000045,PROD0721,Grocery,Beverages,Aashirvaad,2,1586.0,0,1586.0,3172.0,1556.0,1616.0,50.95,2023-01-30,2023,West Bengal,0
ITEM00000089,ORD0000046,PROD0527,Automotive,Tyres,Castrol,3,4744.0,40,2846.0,8538.0,5706.0,2832.0,33.17,2021-05-04,2021,Kerala,0
ITEM00000090,ORD0000047,PROD0608,Grocery,Snacks,Nestle,3,1031.0,15,876.0,2628.0,1191.0,1437.0,54.68,2021-10-21,2021,Maharashtra,0
ITEM00000091,ORD0000048,PROD0399,Electronics,Laptops,Samsung,1,61687.0,50,30844.0,30844.0,15149.0,15695.0,50.89,2021-10-04,2021,Delhi,0
ITEM00000092,ORD0000049,PROD0219,Office Supplies,Storage,Faber-Castell,1,2781.0,25,2086.0,2086.0,1289.0,797.0,38.21,2023-11-29,2023,Andhra Pradesh,0
ITEM00000093,ORD0000050,PROD0017,Automotive,Bike Accessories,3M,1,3768.0,60,1507.0,1507.0,930.0,577.0,38.29,2024-10-31,2024,Haryana,0
ITEM00000094,ORD0000051,PROD0622,Toys & Games,Educational,Lego,1,1950.0,40,1170.0,1170.0,697.0,473.0,40.43,2023-04-30,2023,Bihar,1
ITEM00000095,ORD0000051,PROD0324,Grocery,Spices,Britannia,1,1126.0,5,1070.0,1070.0,513.0,557.0,52.06,2023-04-30,2023,Bihar,1
ITEM00000096,ORD0000051,PROD0106,Books,Fiction,Rupa,1,626.0,15,532.0,532.0,263.0,269.0,50.56,2023-04-30,2023,Bihar,1
ITEM00000097,ORD0000051,PROD0696,Books,Non-Fiction,S.Chand,1,776.0,30,543.0,543.0,315.0,228.0,41.99,2023-04-30,2023,Bihar,1
ITEM00000098,ORD0000052,PROD0543,Automotive,Tools,CEAT,2,4763.0,20,3810.0,7620.0,3254.0,4366.0,57.3,2021-01-16,2021,Telangana,0
ITEM00000099,ORD0000053,PROD0313,Fashion,Sunglasses,Nike,1,3566.0,0,3566.0,3566.0,1907.0,1659.0,46.52,2020-06-18,2020,Karnataka,0
ITEM00000100,ORD0000054,PROD0178,Toys & Games,Action Figures,Lego,1,1119.0,0,1119.0,1119.0,513.0,606.0,54.16,2023-03-02,2023,Bihar,0
ITEM00000101,ORD0000054,PROD0361,Home & Kitchen,Decor,Nilkamal,1,48869.0,20,39095.0,39095.0,26385.0,12710.0,32.51,2023-03-02,2023,Bihar,0
ITEM00000102,ORD0000054,PROD0673,Electronics,Tablets,Boat,2,46741.0,5,44404.0,88808.0,38384.0,50424.0,56.78,2023-03-02,2023,Bihar,0
ITEM00000103,ORD0000055,PROD0711,Electronics,TV & Monitors,Realme,1,27664.0,0,27664.0,27664.0,12120.0,15544.0,56.19,2021-07-09,2021,Andhra Pradesh,0
ITEM00000104,ORD0000056,PROD0028,Sports & Fitness,Swimming,Yonex,1,761.0,5,723.0,723.0,515.0,208.0,28.77,2024-10-20,2024,Andhra Pradesh,1
ITEM00000105,ORD0000056,PROD0379,Grocery,Staples,Haldirams,1,831.0,50,416.0,416.0,250.0,166.0,39.9,2024-10-20,2024,Andhra Pradesh,1
ITEM00000106,ORD0000056,PROD0023,Electronics,Laptops,Realme,1,63019.0,35,40962.0,40962.0,27193.0,13769.0,33.61,2024-10-20,2024,Andhra Pradesh,1
ITEM00000107,ORD0000056,PROD0475,Books,Academic,Rupa,1,616.0,20,493.0,493.0,377.0,116.0,23.53,2024-10-20,2024,Andhra Pradesh,1
ITEM00000108,ORD0000056,PROD0511,Office Supplies,Stationery,HP,1,1950.0,30,1365.0,1365.0,871.0,494.0,36.19,2024-10-20,2024,Andhra Pradesh,1
ITEM00000109,ORD0000057,PROD0562,Electronics,TV & Monitors,Boat,3,63338.0,45,34836.0,104508.0,53106.0,51402.0,49.18,2023-09-14,2023,Haryana,0
ITEM00000110,ORD0000058,PROD0283,Grocery,Staples,Nestle,1,638.0,60,255.0,255.0,165.0,90.0,35.29,2020-05-24,2020,Haryana,1
ITEM00000111,ORD0000058,PROD0557,Office Supplies,Storage,Canon,1,2685.0,20,2148.0,2148.0,1041.0,1107.0,51.54,2020-05-24,2020,Haryana,1
ITEM00000112,ORD0000058,PROD0203,Fashion,Men Clothing,Puma,2,7805.0,40,4683.0,9366.0,6466.0,2900.0,30.96,2020-05-24,2020,Haryana,1
ITEM00000113,ORD0000059,PROD0203,Fashion,Men Clothing,Puma,1,7805.0,50,3902.0,3902.0,3233.0,669.0,17.15,2022-06-12,2022,Kerala,0
ITEM00000114,ORD0000060,PROD0025,Automotive,Car Accessories,Castrol,1,16773.0,25,12580.0,12580.0,5716.0,6864.0,54.56,2020-04-13,2020,Telangana,0
ITEM00000115,ORD0000060,PROD0428,Grocery,Staples,Aashirvaad,1,1939.0,15,1648.0,1648.0,1145.0,503.0,30.52,2020-04-13,2020,Telangana,0
ITEM00000116,ORD0000061,PROD0355,Fashion,Jewellery,Bata,2,8593.0,10,7734.0,15468.0,11320.0,4148.0,26.82,2021-04-09,2021,Telangana,0
ITEM00000117,ORD0000062,PROD0755,Electronics,Headphones,Boat,2,137755.0,30,96428.0,192856.0,154086.0,38770.0,20.1,2023-09-13,2023,West Bengal,0
ITEM00000118,ORD0000063,PROD0422,Fashion,Women Clothing,Puma,1,12750.0,20,10200.0,10200.0,5474.0,4726.0,46.33,2022-05-17,2022,Uttar Pradesh,1
ITEM00000119,ORD0000064,PROD0196,Books,Business,Penguin,1,998.0,30,699.0,699.0,359.0,340.0,48.64,2023-03-22,2023,Haryana,0
ITEM00000120,ORD0000064,PROD0371,Beauty & Health,Skincare,Himalaya,1,833.0,50,416.0,416.0,188.0,228.0,54.81,2023-03-22,2023,Haryana,0
ITEM00000121,ORD0000065,PROD0719,Books,Business,HarperCollins,1,1956.0,35,1271.0,1271.0,734.0,537.0,42.25,2021-01-22,2021,Bihar,0
ITEM00000122,ORD0000065,PROD0099,Grocery,Spices,Dabur,1,338.0,30,237.0,237.0,130.0,107.0,45.15,2021-01-22,2021,Bihar,0
ITEM00000123,ORD0000065,PROD0280,Toys & Games,Electronic Toys,Hasbro,2,1633.0,20,1306.0,2612.0,1102.0,1510.0,57.81,2021-01-22,2021,Bihar,0
ITEM00000124,ORD0000065,PROD0684,Electronics,Mobile Phones,Sony,3,28806.0,0,28806.0,86418.0,47985.0,38433.0,44.47,2021-01-22,2021,Bihar,0
ITEM00000125,ORD0000066,PROD0727,Office Supplies,Stationery,Nilkamal,1,5531.0,10,4978.0,4978.0,2809.0,2169.0,43.57,2020-12-29,2020,Gujarat,0
ITEM00000126,ORD0000067,PROD0779,Toys & Games,Action Figures,Toyzone,1,2330.0,30,1631.0,1631.0,741.0,890.0,54.57,2024-09-30,2024,Bihar,0
ITEM00000127,ORD0000068,PROD0391,Home & Kitchen,Furniture,Godrej,1,32774.0,30,22942.0,22942.0,14027.0,8915.0,38.86,2020-06-22,2020,Andhra Pradesh,0
ITEM00000128,ORD0000069,PROD0402,Office Supplies,Storage,Faber-Castell,1,6920.0,40,4152.0,4152.0,2371.0,1781.0,42.89,2021-10-16,2021,Haryana,0
ITEM00000129,ORD0000069,PROD0322,Electronics,TV & Monitors,LG,2,54124.0,20,43299.0,86598.0,52092.0,34506.0,39.85,2021-10-16,2021,Haryana,0
ITEM00000130,ORD0000070,PROD0237,Electronics,Cameras,Xiaomi,2,29947.0,15,25455.0,50910.0,23704.0,27206.0,53.44,2024-12-02,2024,Maharashtra,0
ITEM00000131,ORD0000071,PROD0176,Books,Fiction,Oxford,1,945.0,20,756.0,756.0,494.0,262.0,34.66,2021-12-31,2021,Gujarat,0
ITEM00000132,ORD0000072,PROD0346,Home & Kitchen,Decor,Hawkins,2,33480.0,45,18414.0,36828.0,23816.0,13012.0,35.33,2022-07-12,2022,Karnataka,0
ITEM00000133,ORD0000072,PROD0667,Home & Kitchen,Cookware,Hawkins,1,16220.0,10,14598.0,14598.0,7483.0,7115.0,48.74,2022-07-12,2022,Karnataka,0
ITEM00000134,ORD0000072,PROD0589,Toys & Games,Outdoor,Mattel,1,1753.0,0,1753.0,1753.0,742.0,1011.0,57.67,2022-07-12,2022,Karnataka,0
ITEM00000135,ORD0000072,PROD0383,Fashion,Sunglasses,Puma,2,14444.0,5,13722.0,27444.0,15200.0,12244.0,44.61,2022-07-12,2022,Karnataka,0
ITEM00000136,ORD0000072,PROD0217,Toys & Games,Electronic Toys,Fisher-Price,3,4042.0,0,4042.0,12126.0,7866.0,4260.0,35.13,2022-07-12,2022,Karnataka,0
ITEM00000137,ORD0000073,PROD0404,Automotive,Tyres,CEAT,1,5643.0,40,3386.0,3386.0,2512.0,874.0,25.81,2020-01-22,2020,Delhi,0
ITEM00000138,ORD0000074,PROD0074,Books,Children,S.Chand,1,498.0,50,249.0,249.0,119.0,130.0,52.21,2024-05-03,2024,Uttar Pradesh,0
ITEM00000139,ORD0000075,PROD0676,Grocery,Snacks,Aashirvaad,1,1495.0,30,1046.0,1046.0,749.0,297.0,28.39,2022-11-25,2022,Telangana,0
ITEM00000140,ORD0000076,PROD0491,Automotive,Tools,Castrol,1,17383.0,30,12168.0,12168.0,8857.0,3311.0,27.21,2022-09-02,2022,Andhra Pradesh,0
ITEM00000141,ORD0000076,PROD0508,Automotive,Oils & Fluids,Castrol,1,19904.0,30,13933.0,13933.0,5868.0,8065.0,57.88,2022-09-02,2022,Andhra Pradesh,0
ITEM00000142,ORD0000077,PROD0514,Electronics,Cameras,Sony,1,85535.0,40,51321.0,51321.0,25911.0,25410.0,49.51,2020-03-30,2020,Delhi,0
ITEM00000143,ORD0000077,PROD0446,Books,Children,HarperCollins,1,949.0,25,712.0,712.0,309.0,403.0,56.6,2020-03-30,2020,Delhi,0
ITEM00000144,ORD0000078,PROD0374,Toys & Games,Electronic Toys,Lego,2,1017.0,25,763.0,1526.0,822.0,704.0,46.13,2024-12-19,2024,Uttar Pradesh,0
ITEM00000145,ORD0000078,PROD0122,Sports & Fitness,Cycling,Nivia,1,24732.0,45,13603.0,13603.0,9996.0,3607.0,26.52,2024-12-19,2024,Uttar Pradesh,0
ITEM00000146,ORD0000079,PROD0634,Books,Non-Fiction,Rupa,4,1162.0,25,872.0,3488.0,1968.0,1520.0,43.58,2022-03-20,2022,Uttar Pradesh,1
ITEM00000147,ORD0000080,PROD0500,Home & Kitchen,Bedding,Hawkins,2,41738.0,5,39651.0,79302.0,50362.0,28940.0,36.49,2020-02-29,2020,Maharashtra,0
ITEM00000148,ORD0000080,PROD0775,Home & Kitchen,Cookware,Godrej,1,26332.0,20,21066.0,21066.0,12106.0,8960.0,42.53,2020-02-29,2020,Maharashtra,0
ITEM00000149,ORD0000080,PROD0184,Office Supplies,Printers,Canon,2,2739.0,5,2602.0,5204.0,3156.0,2048.0,39.35,2020-02-29,2020,Maharashtra,0
ITEM00000150,ORD0000081,PROD0496,Sports & Fitness,Gym Equipment,Reebok,2,6576.0,50,3288.0,6576.0,4314.0,2262.0,34.4,2023-10-18,2023,Karnataka,0
ITEM00000151,ORD0000082,PROD0221,Home & Kitchen,Furniture,Asian Paints,4,35078.0,10,31570.0,126280.0,65864.0,60416.0,47.84,2020-05-28,2020,Haryana,0
ITEM00000152,ORD0000083,PROD0141,Toys & Games,Board Games,Hasbro,3,6357.0,40,3814.0,11442.0,6132.0,5310.0,46.41,2020-05-20,2020,Maharashtra,0
ITEM00000153,ORD0000083,PROD0174,Toys & Games,Outdoor,Funskool,1,1259.0,5,1196.0,1196.0,530.0,666.0,55.69,2020-05-20,2020,Maharashtra,0
ITEM00000154,ORD0000084,PROD0176,Books,Fiction,Oxford,2,945.0,15,803.0,1606.0,988.0,618.0,38.48,2021-03-17,2021,Telangana,0
ITEM00000155,ORD0000084,PROD0259,Fashion,Sunglasses,Nike,1,3806.0,20,3045.0,3045.0,1541.0,1504.0,49.39,2021-03-17,2021,Telangana,0
ITEM00000156,ORD0000085,PROD0546,Sports & Fitness,Football,Nivia,1,4957.0,50,2478.0,2478.0,1263.0,1215.0,49.03,2024-02-25,2024,Andhra Pradesh,0
