product_id,product_name,category,subcategory,brand,mrp,selling_price,discount_pct,cost_price,weight_kg,rating,review_count,stock_quantity,is_active,launch_date,supplier_id
PROD0015,Peter England Jewellery 561,Fashion,Jewellery,Peter England,12815.0,6408.0,50,4309.0,13.44,3.9,1721,395,1,2022-04-22,SUP011
PROD0016,Oxford Business 671,Books,Business,Oxford,1098.0,769.0,30,421.0,7.76,3.1,558,420,1,2018-12-07,SUP017
PROD0017,3M Bike Accessories 400,Automotive,Bike Accessories,3M,3768.0,1884.0,50,930.0,4.96,2.8,4292,349,1,2018-09-02,SUP022
PROD0018,H&M Women Clothing 907,Fashion,Women Clothing,H&M,10982.0,8236.0,25,3614.0,13.12,3.5,3060,441,1,2021-07-13,SUP039
PROD0019,Boat Cameras 871,Electronics,Cameras,Boat,11946.0,9557.0,20,5771.0,10.64,2.9,1077,401,1,2022-01-27,SUP034
PROD0020,Classmate Storage 344,Office Supplies,Storage,Classmate,628.0,628.0,0,417.0,4.62,4.2,2674,387,1,2020-08-12,SUP012
PROD0021,Mamaearth Supplements 303,Beauty & Health,Supplements,Mamaearth,4040.0,4040.0,0,2352.0,3.92,3.3,4758,455,1,2018-12-19,SUP040
PROD0022,Philips Decor 885,Home & Kitchen,Decor,Philips,36411.0,29129.0,20,13937.0,6.12,2.5,391,127,1,2021-04-17,SUP006
PROD0023,Realme Laptops 336,Electronics,Laptops,Realme,63019.0,47264.0,25,27193.0,5.41,3.2,4224,53,1,2022-10-16,SUP004
PROD0024,Bata Men Clothing 410,Fashion,Men Clothing,Bata,11271.0,5636.0,50,2718.0,8.43,4.0,2720,299,1,2019-03-29,SUP025
PROD0025,Castrol Car Accessories 979,Automotive,Car Accessories,Castrol,16773.0,12580.0,25,5716.0,4.56,3.2,540,423,1,2022-03-20,SUP031
PROD0026,Cosco Football 377,Sports & Fitness,Football,Cosco,7829.0,3914.0,50,2739.0,4.83,4.1,1433,90,1,2020-06-17,SUP018
PROD0027,Canon Whiteboards 527,Office Supplies,Whiteboards,Canon,3700.0,3330.0,10,2295.0,13.67,4.8,371,437,1,2021-10-05,SUP019
PROD0028,Yonex Swimming 738,Sports & Fitness,Swimming,Yonex,761.0,761.0,0,515.0,10.59,4.5,3826,113,1,2019-03-25,SUP028
PROD0029,HarperCollins Business 507,Books,Business,HarperCollins,1921.0,1153.0,40,625.0,8.08,3.5,731,476,0,2021-05-21,SUP005
PROD0030,Cosco Football 273,Sports & Fitness,Football,Cosco,6528.0,6202.0,5,4020.0,15.0,3.1,1693,431,1,2020-06-17,SUP019
PROD0031,Nestle Staples 554,Grocery,Staples,Nestle,1623.0,1542.0,5,641.0,12.67,2.7,80,484,1,2021-03-30,SUP020
PROD0032,Hawkins Furniture 804,Home & Kitchen,Furniture,Hawkins,37552.0,18776.0,50,12436.0,10.7,4.6,4516,249,1,2020-07-28,SUP050
PROD0033,LG Cameras 194,Electronics,Cameras,LG,81837.0,73653.0,10,51059.0,13.51,4.5,3154,191,1,2018-06-16,SUP007
PROD0034,Sony Laptops 584,Electronics,Laptops,Sony,47628.0,47628.0,0,23838.0,7.5,4.5,3598,195,1,2021-02-24,SUP031
PROD0035,CEAT Tyres 157,Automotive,Tyres,CEAT,14277.0,13563.0,5,8375.0,5.63,4.6,2760,335,1,2019-03-04,SUP030
PROD0036,Puma Women Clothing 123,Fashion,Women Clothing,Puma,7677.0,5374.0,30,3406.0,7.96,4.2,3730,250,1,2018-11-03,SUP041
PROD0037,Biotique Medical Devices 105,Beauty & Health,Medical Devices,Biotique,648.0,486.0,25,313.0,9.24,3.1,2874,361,1,2018-11-10,SUP008
PROD0038,Patanjali Supplements 983,Beauty & Health,Supplements,Patanjali,3999.0,3999.0,0,1720.0,11.81,2.8,3531,35,1,2022-02-22,SUP012
PROD0039,Meguiars Tools 722,Automotive,Tools,Meguiars,5433.0,5161.0,5,3167.0,1.92,4.8,4726,349,1,2019-12-01,SUP017
PROD0040,Amul Staples 812,Grocery,Staples,Amul,1590.0,1431.0,10,923.0,10.58,4.9,4834,364,1,2019-02-17,SUP029
PROD0041,Xiaomi Headphones 252,Electronics,Headphones,Xiaomi,121574.0,109417.0,10,43813.0,7.1,3.0,850,339,0,2019-12-20,SUP026
PROD0042,Oxford Self-Help 454,Books,Self-Help,Oxford,273.0,273.0,0,165.0,14.09,3.1,4502,123,1,2020-10-11,SUP046
PROD0043,Lakme Haircare 477,Beauty & Health,Haircare,Lakme,4920.0,4428.0,10,2465.0,0.79,4.2,2976,424,1,2021-04-06,SUP035
PROD0044,Himalaya Supplements 557,Beauty & Health,Supplements,Himalaya,2929.0,2929.0,0,1372.0,7.47,4.0,4306,339,0,2018-11-28,SUP003
PROD0045,Nestle Organic 750,Grocery,Organic,Nestle,1620.0,1620.0,0,776.0,6.77,2.6,2927,372,1,2019-10-25,SUP020
PROD0046,Xiaomi Laptops 392,Electronics,Laptops,Xiaomi,29111.0,14556.0,50,7783.0,2.42,4.7,591,92,0,2019-03-18,SUP002
PROD0047,3M Car Accessories 445,Automotive,Car Accessories,3M,166.0,166.0,0,92.0,9.18,4.6,2574,226,1,2021-09-15,SUP042
PROD0048,Meguiars Oils & Fluids 795,Automotive,Oils & Fluids,Meguiars,1128.0,564.0,50,237.0,12.46,2.5,2054,194,1,2019-05-08,SUP003
PROD0049,Nivia Gym Equipment 435,Sports & Fitness,Gym Equipment,Nivia,1422.0,995.0,30,432.0,10.59,3.7,1947,327,1,2018-08-14,SUP019
PROD0050,Realme Headphones 204,Electronics,Headphones,Realme,102999.0,51500.0,50,25932.0,13.8,2.8,4427,184,1,2019-07-01,SUP034
PROD0051,Apple TV & Monitors 772,Electronics,TV & Monitors,Apple,96484.0,91660.0,5,51153.0,3.8,3.0,61,479,1,2018-12-21,SUP027
PROD0052,Sony Cameras 241,Electronics,Cameras,Sony,137695.0,130810.0,5,78112.0,10.66,2.5,2592,421,1,2018-10-20,SUP002
PROD0053,Fabindia Sunglasses 225,Fashion,Sunglasses,Fabindia,12857.0,9643.0,25,4689.0,0.68,3.9,2864,91,1,2019-04-16,SUP013
PROD0054,Faber-Castell Whiteboards 727,Office Supplies,Whiteboards,Faber-Castell,1371.0,960.0,30,544.0,1.56,4.2,1856,489,1,2021-05-02,SUP039
PROD0055,Lego Action Figures 756,Toys & Games,Action Figures,Lego,6813.0,4088.0,40,2104.0,3.96,4.0,3413,13,1,2019-09-12,SUP012
PROD0056,LOreal Makeup 757,Beauty & Health,Makeup,LOreal,2744.0,2607.0,5,1165.0,8.43,2.7,4082,151,1,2021-03-30,SUP015
PROD0057,Bosch Bike Accessories 176,Automotive,Bike Accessories,Bosch,1630.0,1222.0,25,652.0,8.48,4.2,4375,73,1,2018-03-13,SUP028
PROD0058,Prestige Lighting 217,Home & Kitchen,Lighting,Prestige,16426.0,9856.0,40,4034.0,0.5,3.1,2878,8,1,2020-10-11,SUP047
PROD0059,Mamaearth Medical Devices 112,Beauty & Health,Medical Devices,Mamaearth,4045.0,2427.0,40,1274.0,13.74,3.4,3018,290,1,2019-04-27,SUP041
PROD0060,Bata Sunglasses 956,Fashion,Sunglasses,Bata,9261.0,7872.0,15,3162.0,10.39,4.7,793,159,1,2019-06-09,SUP040
PROD0061,Nilkamal Storage 736,Home & Kitchen,Storage,Nilkamal,38034.0,19017.0,50,7613.0,7.98,4.3,3662,44,1,2021-01-25,SUP016
PROD0062,Canon Stationery 174,Office Supplies,Stationery,Canon,5624.0,5624.0,0,3460.0,1.44,3.9,3746,140,1,2020-11-14,SUP044
PROD0063,Lakme Haircare 848,Beauty & Health,Haircare,Lakme,1743.0,1220.0,30,526.0,5.29,3.7,541,37,1,2020-06-14,SUP024
PROD0064,Scholastic Non-Fiction 225,Books,Non-Fiction,Scholastic,160.0,136.0,15,77.0,3.56,3.9,4402,276,1,2019-10-07,SUP016
PROD0065,Lakme Supplements 803,Beauty & Health,Supplements,Lakme,1996.0,998.0,50,447.0,5.9,3.5,2026,418,1,2022-12-12,SUP004
PROD0066,Scholastic Business 651,Books,Business,Scholastic,494.0,469.0,5,287.0,1.15,3.0,888,143,1,2021-05-08,SUP032
PROD0067,Hasbro Board Games 645,Toys & Games,Board Games,Hasbro,4215.0,3794.0,10,1666.0,13.31,5.0,654,439,1,2021-11-03,SUP032
PROD0068,Realme TV & Monitors 380,Electronics,TV & Monitors,Realme,30042.0,21029.0,30,11615.0,14.35,4.6,1102,20,1,2022-05-25,SUP014
PROD0069,Decathlon Cricket 789,Sports & Fitness,Cricket,Decathlon,6564.0,5908.0,10,3179.0,9.73,4.2,2588,480,1,2021-10-16,SUP022
PROD0070,HarperCollins Business 799,Books,Business,HarperCollins,177.0,106.0,40,66.0,10.14,4.9,3950,152,1,2022-06-21,SUP017
PROD0071,S.Chand Children 377,Books,Children,S.Chand,1031.0,722.0,30,451.0,13.36,3.5,4858,10,1,2022-04-10,SUP041
PROD0072,Realme Smart Watches 552,Electronics,Smart Watches,Realme,146421.0,73210.0,50,32324.0,13.77,3.2,4631,257,1,2018-10-09,SUP029
PROD0073,Cosco Cycling 596,Sports & Fitness,Cycling,Cosco,21542.0,15079.0,30,8232.0,12.94,3.2,994,454,1,2021-09-19,SUP014
PROD0074,S.Chand Children 110,Books,Children,S.Chand,498.0,249.0,50,119.0,9.86,2.7,2123,285,1,2022-04-24,SUP025
PROD0075,Haldirams Organic 423,Grocery,Organic,Haldirams,774.0,387.0,50,212.0,5.24,4.3,3931,150,1,2020-01-01,SUP031
PROD0076,Amul Snacks 640,Grocery,Snacks,Amul,564.0,536.0,5,262.0,9.32,4.3,1664,373,1,2021-05-13,SUP028
PROD0077,Meguiars Bike Accessories 731,Automotive,Bike Accessories,Meguiars,8847.0,8405.0,5,3898.0,14.68,3.0,1222,365,0,2022-06-24,SUP047
PROD0078,Classmate Whiteboards 480,Office Supplies,Whiteboards,Classmate,5475.0,4106.0,25,2722.0,1.29,4.6,3209,299,0,2022-06-05,SUP046
PROD0079,Lego Educational 668,Toys & Games,Educational,Lego,6541.0,6214.0,5,3047.0,10.89,2.9,3448,129,1,2018-08-02,SUP011
PROD0080,Nivia Yoga 869,Sports & Fitness,Yoga,Nivia,14321.0,12889.0,10,6737.0,1.32,2.8,3644,279,1,2020-07-12,SUP030
PROD0081,Adidas Sunglasses 907,Fashion,Sunglasses,Adidas,2558.0,2046.0,20,959.0,5.28,3.1,4686,439,1,2019-06-25,SUP031
PROD0082,MRF Tyres 675,Automotive,Tyres,MRF,6234.0,5299.0,15,3065.0,7.68,3.8,1426,442,1,2019-01-26,SUP030
PROD0083,Funskool Board Games 767,Toys & Games,Board Games,Funskool,2928.0,2050.0,30,1337.0,9.9,4.9,4846,293,1,2021-12-04,SUP013
PROD0084,Bosch Oils & Fluids 186,Automotive,Oils & Fluids,Bosch,18168.0,17260.0,5,10514.0,6.11,3.6,113,333,1,2019-03-02,SUP035
PROD0085,SG Gym Equipment 658,Sports & Fitness,Gym Equipment,SG,14741.0,7370.0,50,4787.0,0.51,3.0,165,12,1,2021-02-20,SUP039
PROD0086,Mamaearth Makeup 730,Beauty & Health,Makeup,Mamaearth,1323.0,662.0,50,372.0,9.86,4.7,4921,372,1,2020-07-31,SUP013
PROD0087,MRF Oils & Fluids 974,Automotive,Oils & Fluids,MRF,5291.0,3704.0,30,2229.0,4.87,4.6,2927,298,1,2022-03-11,SUP036
PROD0088,Boat Cameras 820,Electronics,Cameras,Boat,46732.0,42059.0,10,24461.0,7.07,3.6,3728,197,1,2018-07-28,SUP010
PROD0089,Classmate Printers 149,Office Supplies,Printers,Classmate,2241.0,1345.0,40,598.0,6.77,4.0,1759,358,1,2019-01-18,SUP022
PROD0090,Yonex Cricket 150,Sports & Fitness,Cricket,Yonex,14921.0,10445.0,30,5882.0,0.22,4.2,4250,131,1,2019-10-05,SUP037
PROD0091,LOreal Supplements 147,Beauty & Health,Supplements,LOreal,1794.0,1346.0,25,843.0,0.58,3.5,1049,1,1,2022-08-14,SUP003
PROD0092,Himalaya Supplements 241,Beauty & Health,Supplements,Himalaya,4945.0,3709.0,25,2430.0,7.63,3.8,4759,19,1,2020-09-09,SUP012
PROD0093,Faber-Castell Storage 948,Office Supplies,Storage,Faber-Castell,4076.0,2038.0,50,984.0,3.67,4.2,4143,256,1,2018-09-20,SUP018
PROD0094,Hawkins Bedding 719,Home & Kitchen,Bedding,Hawkins,15783.0,11048.0,30,7294.0,10.25,4.2,715,145,1,2018-03-25,SUP011
PROD0095,Funskool Educational 784,Toys & Games,Educational,Funskool,2477.0,1238.0,50,738.0,13.85,4.7,1228,318,1,2022-02-26,SUP005
PROD0096,HP Printers 969,Office Supplies,Printers,HP,2341.0,1170.0,50,590.0,12.83,4.7,4763,147,1,2021-03-12,SUP047
PROD0097,CEAT Tyres 842,Automotive,Tyres,CEAT,16084.0,8042.0,50,3720.0,10.47,4.4,1165,9,1,2021-08-18,SUP017
PROD0098,Decathlon Cycling 529,Sports & Fitness,Cycling,Decathlon,10347.0,9312.0,10,6289.0,4.51,3.3,1598,174,1,2019-08-16,SUP017
PROD0099,Dabur Spices 425,Grocery,Spices,Dabur,338.0,237.0,30,130.0,14.12,3.4,4493,498,1,2019-04-23,SUP034
PROD0100,CEAT Tools 497,Automotive,Tools,CEAT,12871.0,11584.0,10,6461.0,9.44,3.9,4595,405,1,2021-09-03,SUP023
PROD0101,3M Car Accessories 646,Automotive,Car Accessories,3M,14889.0,14145.0,5,7065.0,6.01,3.5,2578,67,1,2022-12-18,SUP031
PROD0102,Boat Smart Watches 468,Electronics,Smart Watches,Boat,46166.0,41549.0,10,27622.0,2.49,4.1,1935,117,1,2022-08-02,SUP044
PROD0103,Fabindia Jewellery 793,Fashion,Jewellery,Fabindia,2411.0,2411.0,0,1307.0,9.18,3.4,4971,169,1,2020-07-01,SUP025
PROD0104,Yonex Football 454,Sports & Fitness,Football,Yonex,25076.0,18807.0,25,11166.0,9.23,4.1,4271,136,1,2020-12-28,SUP015
PROD0105,Himalaya Haircare 581,Beauty & Health,Haircare,Himalaya,650.0,455.0,30,217.0,6.7,3.8,1445,481,1,2021-06-29,SUP049
PROD0106,Rupa Fiction 657,Books,Fiction,Rupa,626.0,532.0,15,263.0,6.94,2.7,2046,152,1,2018-09-15,SUP041
PROD0107,Britannia Snacks 602,Grocery,Snacks,Britannia,977.0,586.0,40,344.0,8.82,4.4,2845,309,1,2019-08-26,SUP012
PROD0108,Prestige Storage 358,Home & Kitchen,Storage,Prestige,41629.0,37466.0,10,20484.0,0.44,3.9,1118,264,1,2022-05-27,SUP040
PROD0109,Boat Headphones 454,Electronics,Headphones,Boat,33134.0,29821.0,10,17957.0,4.31,5.0,2494,67,1,2020-06-01,SUP033
PROD0110,Himalaya Skincare 953,Beauty & Health,Skincare,Himalaya,3006.0,2104.0,30,1307.0,0.12,3.6,256,221,1,2022-06-21,SUP003
PROD0111,Fisher-Price Board Games 770,Toys & Games,Board Games,Fisher-Price,6550.0,6550.0,0,3345.0,8.87,4.9,4957,349,1,2018-07-12,SUP012
PROD0112,Amul Beverages 896,Grocery,Beverages,Amul,99.0,99.0,0,64.0,9.26,3.9,2009,245,1,2020-08-29,SUP033
PROD0113,LOreal Skincare 191,Beauty & Health,Skincare,LOreal,104.0,52.0,50,23.0,13.99,3.2,1028,19,1,2020-09-01,SUP032
PROD0114,LOreal Supplements 137,Beauty & Health,Supplements,LOreal,2780.0,2780.0,0,1626.0,4.93,4.6,852,444,1,2018-07-03,SUP050
PROD0115,Lego Board Games 786,Toys & Games,Board Games,Lego,5389.0,5120.0,5,2607.0,2.84,3.0,2598,11,1,2021-09-16,SUP043
PROD0116,Boat Tablets 866,Electronics,Tablets,Boat,102445.0,51222.0,50,35472.0,13.02,4.7,2431,121,1,2020-02-09,SUP034
PROD0117,Meguiars Bike Accessories 481,Automotive,Bike Accessories,Meguiars,18439.0,12907.0,30,8876.0,10.25,3.5,302,324,1,2021-12-14,SUP049
PROD0118,Canon Storage 932,Office Supplies,Storage,Canon,8007.0,6005.0,25,2475.0,1.67,3.5,4002,59,1,2019-07-19,SUP010
PROD0119,Xiaomi Mobile Phones 412,Electronics,Mobile Phones,Xiaomi,72993.0,36496.0,50,19008.0,3.17,4.1,1138,156,0,2018-05-03,SUP031
PROD0120,SG Yoga 348,Sports & Fitness,Yoga,SG,20265.0,20265.0,0,10501.0,9.03,4.7,1071,297,1,2021-02-15,SUP013
PROD0121,Canon Storage 565,Office Supplies,Storage,Canon,9865.0,8878.0,10,4241.0,6.17,4.5,3014,187,1,2019-05-24,SUP021
PROD0122,Nivia Cycling 696,Sports & Fitness,Cycling,Nivia,24732.0,14839.0,40,9996.0,10.98,4.1,4932,326,1,2018-09-28,SUP022
PROD0123,Yonex Cricket 453,Sports & Fitness,Cricket,Yonex,26253.0,22315.0,15,12357.0,11.73,3.7,1632,203,1,2022-08-28,SUP012
PROD0124,Zara Bags & Wallets 525,Fashion,Bags & Wallets,Zara,3975.0,2782.0,30,1849.0,2.31,4.4,668,82,1,2022-04-26,SUP020
PROD0125,Britannia Spices 935,Grocery,Spices,Britannia,1097.0,823.0,25,553.0,3.43,2.5,4172,299,1,2018-10-17,SUP017
PROD0126,Zara Bags & Wallets 432,Fashion,Bags & Wallets,Zara,5207.0,5207.0,0,3255.0,2.85,4.5,4772,464,1,2018-06-29,SUP019
PROD0127,Yonex Cycling 231,Sports & Fitness,Cycling,Yonex,1067.0,1067.0,0,481.0,9.1,4.1,4679,482,1,2018-07-21,SUP031
PROD0128,Funskool Action Figures 746,Toys & Games,Action Figures,Funskool,1670.0,1670.0,0,1040.0,5.94,4.5,454,167,1,2018-04-20,SUP031
PROD0129,CEAT Bike Accessories 262,Automotive,Bike Accessories,CEAT,8935.0,8935.0,0,6052.0,8.69,3.5,752,495,1,2022-04-02,SUP022
PROD0130,Canon Printers 286,Office Supplies,Printers,Canon,7689.0,6151.0,20,2973.0,13.91,3.7,117,415,1,2018-12-06,SUP016
PROD0131,Nilkamal Furniture 592,Office Supplies,Furniture,Nilkamal,6964.0,5571.0,20,2797.0,3.04,4.3,1279,429,1,2020-04-20,SUP004
PROD0132,Meguiars Car Accessories 615,Automotive,Car Accessories,Meguiars,4032.0,3427.0,15,2397.0,10.48,4.7,65,82,1,2018-07-25,SUP042
PROD0133,Canon Whiteboards 779,Office Supplies,Whiteboards,Canon,5687.0,2844.0,50,1896.0,11.3,4.3,4404,86,1,2018-12-31,SUP040
PROD0134,Lakme Medical Devices 955,Beauty & Health,Medical Devices,Lakme,4037.0,2018.0,50,811.0,9.43,3.0,4087,242,1,2018-01-05,SUP023
PROD0135,MRF Tyres 629,Automotive,Tyres,MRF,10215.0,9194.0,10,6319.0,7.5,3.1,4371,4,1,2019-11-12,SUP036
PROD0136,Realme TV & Monitors 434,Electronics,TV & Monitors,Realme,68755.0,61880.0,10,34697.0,3.51,3.6,64,331,1,2021-03-07,SUP033
PROD0137,HP Whiteboards 163,Office Supplies,Whiteboards,HP,9359.0,5615.0,40,2866.0,10.48,2.9,982,365,1,2022-09-22,SUP013
PROD0138,Adidas Men Clothing 493,Fashion,Men Clothing,Adidas,6054.0,4540.0,25,2989.0,0.48,4.4,3401,102,1,2018-03-04,SUP003
PROD0139,Asian Paints Bedding 581,Home & Kitchen,Bedding,Asian Paints,19697.0,15758.0,20,9578.0,4.04,4.5,3734,326,1,2021-08-18,SUP023
PROD0140,Asian Paints Decor 751,Home & Kitchen,Decor,Asian Paints,2489.0,2240.0,10,1541.0,5.34,4.9,3204,405,1,2018-09-08,SUP017
PROD0141,Hasbro Board Games 666,Toys & Games,Board Games,Hasbro,6357.0,3814.0,40,2044.0,13.49,3.1,3775,79,1,2021-10-07,SUP015
PROD0142,Britannia Dairy 865,Grocery,Dairy,Britannia,1584.0,1584.0,0,830.0,10.33,3.4,2185,462,1,2021-12-05,SUP021
PROD0143,Nivia Cycling 924,Sports & Fitness,Cycling,Nivia,29861.0,17917.0,40,9607.0,14.02,4.9,4792,366,1,2019-08-28,SUP021
PROD0144,SG Cycling 864,Sports & Fitness,Cycling,SG,13927.0,11838.0,15,7153.0,7.55,4.0,2013,107,1,2018-05-07,SUP023
PROD0145,Reebok Swimming 410,Sports & Fitness,Swimming,Reebok,10636.0,10104.0,5,4810.0,11.27,3.9,1698,272,1,2018-12-23,SUP028
PROD0146,Classmate Furniture 265,Office Supplies,Furniture,Classmate,327.0,262.0,20,180.0,1.33,4.2,3710,173,1,2020-02-29,SUP047
PROD0147,Biotique Makeup 632,Beauty & Health,Makeup,Biotique,3811.0,3811.0,0,1667.0,10.33,3.2,4422,477,1,2021-02-19,SUP023
PROD0148,Samsung Cameras 486,Electronics,Cameras,Samsung,72845.0,36422.0,50,19301.0,5.13,2.7,3028,443,1,2021-01-02,SUP003
PROD0149,Hawkins Lighting 317,Home & Kitchen,Lighting,Hawkins,32514.0,26011.0,20,15793.0,14.09,4.9,3717,39,1,2020-02-04,SUP048
PROD0150,Asian Paints Storage 925,Home & Kitchen,Storage,Asian Paints,4290.0,2145.0,50,1180.0,11.38,2.7,826,40,0,2022-09-27,SUP045
PROD0151,Cosco Yoga 147,Sports & Fitness,Yoga,Cosco,2742.0,2056.0,25,1107.0,13.76,3.5,429,305,1,2021-01-31,SUP049
PROD0152,Reebok Swimming 925,Sports & Fitness,Swimming,Reebok,6514.0,4886.0,25,2208.0,8.27,3.1,1559,225,1,2019-11-20,SUP038
PROD0153,Aashirvaad Staples 984,Grocery,Staples,Aashirvaad,699.0,594.0,15,273.0,5.47,4.5,32,492,1,2019-03-26,SUP025
PROD0154,Patanjali Supplements 824,Beauty & Health,Supplements,Patanjali,4582.0,3436.0,25,2167.0,7.47,3.7,3139,387,1,2018-09-19,SUP006
PROD0155,Nilkamal Furniture 284,Office Supplies,Furniture,Nilkamal,3635.0,2544.0,30,1432.0,5.56,2.6,3511,0,1,2018-04-19,SUP031
PROD0156,Hasbro Board Games 511,Toys & Games,Board Games,Hasbro,1406.0,1336.0,5,599.0,12.84,3.9,2230,317,1,2018-08-01,SUP043
PROD0157,Oxford Academic 647,Books,Academic,Oxford,346.0,277.0,20,124.0,4.85,3.3,1601,330,1,2021-06-21,SUP003
PROD0158,Bosch Bike Accessories 563,Automotive,Bike Accessories,Bosch,8117.0,7305.0,10,4905.0,14.35,2.8,4535,104,1,2019-04-07,SUP025
PROD0159,Lego Educational 484,Toys & Games,Educational,Lego,2588.0,2200.0,15,1128.0,10.12,4.6,2397,306,0,2021-03-26,SUP043
PROD0160,Puma Footwear 869,Fashion,Footwear,Puma,7428.0,5200.0,30,3156.0,2.32,4.7,2081,170,1,2022-10-03,SUP020
PROD0161,3M Tyres 479,Automotive,Tyres,3M,3508.0,3157.0,10,1613.0,4.8,3.8,4723,428,0,2022-06-08,SUP017
PROD0162,Lakme Makeup 291,Beauty & Health,Makeup,Lakme,4729.0,4493.0,5,2968.0,8.67,2.5,4197,292,1,2021-01-06,SUP002
PROD0163,Himalaya Medical Devices 676,Beauty & Health,Medical Devices,Himalaya,3530.0,3000.0,15,1313.0,2.04,3.1,3439,387,1,2020-01-20,SUP040
PROD0164,Biotique Skincare 879,Beauty & Health,Skincare,Biotique,3442.0,2409.0,30,1641.0,4.13,4.9,1960,42,1,2018-01-08,SUP005
PROD0165,Scholastic Children 332,Books,Children,Scholastic,518.0,466.0,10,192.0,10.34,3.3,2331,93,0,2019-09-11,SUP035
PROD0166,Nike Jewellery 795,Fashion,Jewellery,Nike,12307.0,7384.0,40,4433.0,6.28,4.8,93,153,1,2019-05-11,SUP012
PROD0167,LG Laptops 662,Electronics,Laptops,LG,37939.0,26557.0,30,17691.0,5.0,2.7,3540,29,1,2018-10-12,SUP012
PROD0168,Godrej Stationery 886,Office Supplies,Stationery,Godrej,6975.0,5231.0,25,2390.0,14.64,4.6,249,311,1,2022-03-26,SUP031
PROD0169,Hawkins Cleaning 245,Home & Kitchen,Cleaning,Hawkins,16502.0,9901.0,40,6192.0,3.64,3.4,3913,349,1,2021-02-05,SUP043
PROD0170,Britannia Dairy 600,Grocery,Dairy,Britannia,1089.0,980.0,10,598.0,11.28,3.8,3609,295,1,2022-03-01,SUP026
PROD0171,Fisher-Price Educational 486,Toys & Games,Educational,Fisher-Price,7549.0,7549.0,0,3294.0,5.31,3.1,2654,405,1,2022-11-30,SUP037
PROD0172,Zara Women Clothing 486,Fashion,Women Clothing,Zara,5413.0,4330.0,20,2754.0,6.44,3.5,2165,369,1,2022-02-18,SUP049
PROD0173,3M Bike Accessories 122,Automotive,Bike Accessories,3M,1173.0,1173.0,0,587.0,7.97,3.2,806,210,1,2020-11-12,SUP050
PROD0174,Funskool Outdoor 813,Toys & Games,Outdoor,Funskool,1259.0,1196.0,5,530.0,1.75,4.8,841,388,1,2021-06-05,SUP030
PROD0175,Haldirams Spices 216,Grocery,Spices,Haldirams,596.0,447.0,25,191.0,5.55,3.3,3707,275,1,2021-06-12,SUP005
PROD0176,Oxford Fiction 824,Books,Fiction,Oxford,945.0,803.0,15,494.0,7.22,4.0,621,149,1,2018-03-23,SUP028
PROD0177,Nivia Football 299,Sports & Fitness,Football,Nivia,5406.0,2703.0,50,1265.0,9.8,4.4,762,48,1,2019-03-04,SUP041
PROD0178,Lego Action Figures 792,Toys & Games,Action Figures,Lego,1119.0,1119.0,0,513.0,13.92,2.7,255,123,1,2022-09-30,SUP030
